date,Community name,COMM_CODE,Number of taxable accounts,Median assessed value
2016,Abbeydale,ABB,"1,804","310,000"
2016,Acadia,ACA,"3,859","396,000"
2016,Albert Park/Radisson Hts,ALB,"1,916","328,000"
2016,Altadore,ALT,"2,823","776,000"
2016,Applewood Park,APP,"1,795","369,000"
2016,Arbour Lake,ARB,"4,332","469,000"
2016,Aspen Woods,ASP,"3,319","815,000"
2016,Auburn Bay,AUB,"4,906","497,000"
2016,Banff Trail,BNF,"1,244","611,000"
2016,Bankview,BNK,"2,245","281,000"
2016,Bayview,BYV,248,"1,020,000"
2016,Beddington Heights,BED,"4,070","355,000"
2016,Belaire,BEL,157,"1,710,000"
2016,Beltline,BLN,"16,520","321,000"
2016,Bonavista Downs,BDO,368,"422,000"
2016,Bowness,BOW,"3,720","377,000"
2016,Braeside,BRA,"2,536","382,000"
2016,Brentwood,BRE,"3,391","518,000"
2016,Bridgeland/Riverside,BRD,"2,743","435,000"
2016,Bridlewood,BRI,"4,756","397,000"
2016,Britannia,BRT,287,"1,540,000"
2016,Cambrian Heights,CAM,699,"553,000"
2016,Canyon Meadows,CAN,"3,136","436,000"
2016,Capitol Hill,CAP,"1,444","542,000"
2016,Castleridge,CAS,"1,654","324,000"
2016,Cedarbrae,CED,"2,344","373,000"
2016,Chaparral,CHA,"4,399","492,000"
2016,Charleswood,CHW,"1,319","569,000"
2016,Chinatown,CHN,"1,215","356,000"
2016,Chinook Park,CHK,526,"693,000"
2016,Christie Park,CHR,726,"699,000"
2016,Citadel,CIT,"3,620","447,000"
2016,Cliff Bungalow,CLI,839,"319,000"
2016,Coach Hill,COA,"1,481","393,000"
2016,Collingwood,COL,839,"553,000"
2016,Copperfield,CPF,"5,143","388,000"
2016,Coral Springs,COR,"1,474","488,000"
2016,Cougar Ridge,CGR,"2,361","583,000"
2016,Country Hills,COU,"1,562","388,000"
2016,Country Hills Village,CHV,"2,231","281,000"
2016,Coventry Hills,COV,"5,510","409,000"
2016,Cranston,CRA,"6,790","471,000"
2016,Crescent Heights,CRE,"3,007","391,000"
2016,Crestmont,CRM,484,"639,000"
2016,Dalhousie,DAL,"3,670","467,000"
2016,Deer Ridge,DRG,"1,383","355,000"
2016,Deer Run,DRN,"2,101","398,000"
2016,Diamond Cove,DIA,271,"532,000"
2016,Woodbine,WBN,"3,337","450,000"
2016,Discovery Ridge,DIS,"2,278","702,000"
2016,Douglasdale/Glen,DDG,"5,023","480,000"
2016,Dover,DOV,"4,136","290,000"
2016,Downtown Commercial Core,DNC,"3,217","160,000"
2016,Downtown East Village,DNE,"1,608","323,000"
2016,Downtown West End,DNW,"2,362","364,000"
2016,Eagle Ridge,EAG,108,"1,595,000"
2016,Eau Claire,EAU,"2,805","505,000"
2016,Edgemont,EDG,"5,363","574,000"
2016,Elbow Park,EPK,"1,192","1,360,000"
2016,Elboya,EYA,690,"776,000"
2016,Erin Woods,ERI,"2,348","315,000"
2016,Erlton,ERL,"1,115","433,000"
2016,Evanston,EVN,"4,808","477,000"
2016,Evergreen,EVE,"7,832","489,000"
2016,Fairview,FAI,"1,254","406,000"
2016,Falconridge,FAL,"2,867","305,000"
2016,Forest Heights,FHT,"1,891","294,000"
