COMMUNITY_NAME,YEAR,COMM_CODE_x,WARD,DWELLING_TYPE,DWELLING_TYPE_CODE,DWELLING_TYPE_DESCRIPTION,DWELLINGS_TOTAL,RES_CNT,OCPD_DWELLING_CNT,DWELLINGS_VACANT,OCPD_OWNERSHIP_CNT,RENOVATION_DWELLING_CNT,UNDER_CONST_DWELLING_CNT,INACTIVE_CNT,OTHER_PURPOSE_CNT,COMM_CODE_y,CLASS,CLASS_CODE,SECTOR,SRG,COMM_STRUCTURE,WARD_NUM,AREA_TYPE,COMM_CODE,Number of taxable accounts,MEDIAN_ASSESSMENT,ASSESSMENT_PER_PERSON,VACANCY_RATE
ABBEYDALE,2016,ABB,10,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,1418,4246,"1,389",24,"1,097",5,0,0,0,ABB,Residential,1,NORTHEAST,ESTABLISHED,2000s,10,Suburban,ABB,"1,804",310000,73.00989166,0.016925247
,2016,ABB,10,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",290,814,280,7,183,2,1,0,0,ABB,Residential,1,NORTHEAST,ESTABLISHED,2000s,10,Suburban,ABB,"1,804",310000,380.8353808,0.024137931
,2016,ABB,10,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",230,654,213,17,102,0,0,0,0,ABB,Residential,1,NORTHEAST,ESTABLISHED,2000s,10,Suburban,ABB,"1,804",310000,474.0061162,0.073913043
,2016,ABB,10,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,121,160,84,23,0,1,0,13,0,ABB,Residential,1,NORTHEAST,ESTABLISHED,2000s,10,Suburban,ABB,"1,804",310000,1937.5,0.190082645
,2016,ABB,10,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,3,38,3,0,0,0,0,0,0,ABB,Residential,1,NORTHEAST,ESTABLISHED,2000s,10,Suburban,ABB,"1,804",310000,8157.894737,0
,2017,ABB,10,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,1417,4207,"1,366",37,"1,063",9,1,4,0,ABB,Residential,1,NORTHEAST,ESTABLISHED,2000s,10,Suburban,ABB,"1,804",305000,72.49821726,0.026111503
,2017,ABB,10,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",290,843,274,14,195,0,0,2,0,ABB,Residential,1,NORTHEAST,ESTABLISHED,2000s,10,Suburban,ABB,"1,804",305000,361.8030842,0.048275862
,2017,ABB,10,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",230,706,224,6,96,0,0,0,0,ABB,Residential,1,NORTHEAST,ESTABLISHED,2000s,10,Suburban,ABB,"1,804",305000,432.0113314,0.026086957
,2017,ABB,10,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,117,272,96,19,15,1,0,1,0,ABB,Residential,1,NORTHEAST,ESTABLISHED,2000s,10,Suburban,ABB,"1,804",305000,1121.323529,0.162393162
,2017,ABB,10,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,3,15,3,0,0,0,0,0,0,ABB,Residential,1,NORTHEAST,ESTABLISHED,2000s,10,Suburban,ABB,"1,804",305000,20333.33333,0
