COMMUNITY_NAME,YEAR,COMM_CODE_x,WARD,DWELLING_TYPE,DWELLING_TYPE_CODE,DWELLING_TYPE_DESCRIPTION,DWELLINGS_TOTAL,RES_CNT,OCPD_DWELLING_CNT,DWELLINGS_VACANT,OCPD_OWNERSHIP_CNT,RENOVATION_DWELLING_CNT,UNDER_CONST_DWELLING_CNT,INACTIVE_CNT,OTHER_PURPOSE_CNT,COMM_CODE_y,CLASS,CLASS_CODE,SECTOR,SRG,COMM_STRUCTURE,WARD_NUM,AREA_TYPE,COMM_CODE,Number of taxable accounts,MEDIAN_ASSESSMENT,ASSESSMENT_PER_PERSON,VACANCY_RATE
ABBEYDALE,2016,ABB,10.0,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,1418.0,4246.0,"1,389",24.0,"1,097",5.0,0,0.0,0.0,ABB,Residential,1.0,NORTHEAST,ESTABLISHED,2000s,10.0,Suburban,ABB,"1,804",310000.0,73.00989166274141,0.01692524682651622
ABBEYDALE,2016,ABB,10.0,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",290.0,814.0,280,7.0,183,2.0,1,0.0,0.0,ABB,Residential,1.0,NORTHEAST,ESTABLISHED,2000s,10.0,Suburban,ABB,"1,804",310000.0,380.8353808353808,0.02413793103448276
ABBEYDALE,2016,ABB,10.0,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",230.0,654.0,213,17.0,102,0.0,0,0.0,0.0,ABB,Residential,1.0,NORTHEAST,ESTABLISHED,2000s,10.0,Suburban,ABB,"1,804",310000.0,474.0061162079511,0.07391304347826087
ABBEYDALE,2016,ABB,10.0,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,121.0,160.0,84,23.0,0,1.0,0,13.0,0.0,ABB,Residential,1.0,NORTHEAST,ESTABLISHED,2000s,10.0,Suburban,ABB,"1,804",310000.0,1937.5,0.19008264462809918
ABBEYDALE,2016,ABB,10.0,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,3.0,38.0,3,0.0,0,0.0,0,0.0,0.0,ABB,Residential,1.0,NORTHEAST,ESTABLISHED,2000s,10.0,Suburban,ABB,"1,804",310000.0,8157.894736842105,0.0
ABBEYDALE,2017,ABB,10.0,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,1417.0,4207.0,"1,366",37.0,"1,063",9.0,1,4.0,0.0,ABB,Residential,1.0,NORTHEAST,ESTABLISHED,2000s,10.0,Suburban,ABB,"1,804",305000.0,72.4982172569527,0.02611150317572336
ABBEYDALE,2017,ABB,10.0,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",290.0,843.0,274,14.0,195,0.0,0,2.0,0.0,ABB,Residential,1.0,NORTHEAST,ESTABLISHED,2000s,10.0,Suburban,ABB,"1,804",305000.0,361.80308422301306,0.04827586206896552
ABBEYDALE,2017,ABB,10.0,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",230.0,706.0,224,6.0,96,0.0,0,0.0,0.0,ABB,Residential,1.0,NORTHEAST,ESTABLISHED,2000s,10.0,Suburban,ABB,"1,804",305000.0,432.0113314447592,0.02608695652173913
ABBEYDALE,2017,ABB,10.0,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,117.0,272.0,96,19.0,15,1.0,0,1.0,0.0,ABB,Residential,1.0,NORTHEAST,ESTABLISHED,2000s,10.0,Suburban,ABB,"1,804",305000.0,1121.3235294117646,0.1623931623931624
ABBEYDALE,2017,ABB,10.0,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,3.0,15.0,3,0.0,0,0.0,0,0.0,0.0,ABB,Residential,1.0,NORTHEAST,ESTABLISHED,2000s,10.0,Suburban,ABB,"1,804",305000.0,20333.333333333332,0.0
